team1.win,team1.composition.champion1,team1.composition.champion1_items,team1.composition.champion2,team1.composition.champion2_items,team1.composition.champion3,team1.composition.champion3_items,team1.composition.champion4,team1.composition.champion4_items,team1.composition.champion5,team1.composition.champion5_items,team2.win,team2.composition.champion6,team2.composition.champion6_items,team2.composition.champion7,team2.composition.champion7_items,team2.composition.champion8,team2.composition.champion8_items,team2.composition.champion9,team2.composition.champion9_items,team2.composition.champion10,team2.composition.champion10_items
True,Zilean,"[2420, 3851, 2065, 2055, 3158, 0, 3364]",KogMaw,"[1055, 3085, 3091, 3006, 1028, 0, 3340]",Kassadin,"[3070, 1058, 6656, 1082, 3158, 1052, 3364]",Nocturne,"[2031, 0, 1037, 3158, 3134, 6691, 3363]",Urgot,"[1055, 3071, 3111, 3077, 1011, 3123, 3340]",False,Sona,"[2065, 3853, 0, 3158, 6616, 0, 3364]",Ezreal,"[3042, 3078, 3158, 3024, 1029, 2055, 3363]",Kayle,"[1058, 1056, 3006, 3115, 4633, 3041, 3363]",Khazix,"[6691, 3047, 6676, 3133, 1036, 2055, 3364]",Chogath,"[6662, 1056, 3075, 3047, 4401, 2055, 3363]"
False,Braum,"[3047, 3067, 3855, 1033, 1029, 0, 3364]",Ashe,"[1055, 6677, 2055, 6673, 3006, 0, 3340]",Lucian,"[3006, 2031, 6671, 2055, 3086, 0, 3340]",Kayn,"[2422, 6630, 2031, 1036, 0, 0, 3364]",Vladimir,"[3145, 1056, 0, 3020, 0, 0, 3340]",True,Nautilus,"[1028, 3047, 3858, 1029, 0, 0, 3340]",Draven,"[1055, 3134, 1036, 0, 1036, 0, 3340]",MasterYi,"[3006, 2031, 2055, 1036, 3134, 0, 3340]",Nunu,"[1039, 2031, 1001, 3041, 0, 0, 3340]",Gangplank,"[2033, 3051, 3057, 3067, 1001, 0, 3340]"
True,Thresh,"[3860, 3117, 3050, 3190, 1029, 0, 3364]",Jinx,"[0, 0, 0, 0, 0, 0, 0]",Zed,"[2031, 3158, 6693, 3036, 6695, 1018, 3340]",Nidalee,"[4636, 4630, 3020, 3157, 0, 0, 3364]",Darius,"[3193, 8001, 3111, 3078, 3053, 1033, 3340]",False,Nunu,"[1039, 0, 3190, 3075, 3047, 0, 3364]",Kaisa,"[3031, 1018, 3046, 6672, 3006, 3035, 3363]",Ekko,"[3152, 3157, 2055, 3041, 3089, 3020, 3364]",Lulu,"[2065, 3853, 0, 3114, 3158, 3011, 3364]",Sett,"[6630, 3047, 3053, 1028, 0, 0, 3364]"
False,Alistar,"[3117, 0, 3190, 3109, 1028, 3860, 3364]",Kaisa,"[6672, 3006, 3091, 1042, 3036, 1042, 3363]",Qiyana,"[6692, 6695, 2055, 3134, 6694, 3158, 3364]",Nidalee,"[4636, 3020, 3157, 4628, 3135, 1082, 3364]",DrMundo,"[8001, 3075, 3047, 6662, 3065, 3105, 3340]",True,Thresh,"[3857, 3158, 3801, 2055, 3190, 0, 3364]",Karthus,"[6653, 3157, 3916, 3135, 0, 3020, 3363]",Graves,"[1055, 0, 6692, 3036, 3047, 3033, 3340]",Kindred,"[6672, 3046, 3006, 3031, 0, 0, 3364]",MonkeyKing,"[6632, 3053, 3748, 3123, 3047, 3133, 3340]"
True,Nami,"[3851, 6617, 3070, 2422, 0, 0, 3364]",Ezreal,"[1055, 6632, 3070, 3133, 3158, 0, 3340]",Syndra,"[1056, 3158, 3070, 1026, 3802, 0, 3340]",Nidalee,"[3145, 3020, 1028, 1026, 0, 0, 3364]",Yone,"[1054, 2031, 1018, 6670, 3006, 0, 3340]",False,Karma,"[3158, 2065, 3851, 2055, 2031, 3916, 3364]",KogMaw,"[1055, 3006, 3091, 3086, 1042, 1042, 3340]",Ekko,"[3111, 2033, 1082, 3152, 3057, 1052, 3340]",Volibear,"[0, 3111, 1042, 1042, 6632, 1026, 3364]",Camille,"[1055, 1083, 2031, 3078, 1036, 2422, 3340]"
True,Sona,"[2065, 3853, 3158, 3916, 1004, 2055, 3364]",Ezreal,"[1055, 3042, 6632, 3158, 3133, 3035, 3363]",Irelia,"[2420, 0, 3111, 6632, 1031, 3153, 3363]",Viego,"[3111, 6632, 3091, 2055, 1043, 1036, 3364]",Ryze,"[6656, 3157, 3040, 4630, 1026, 3111, 3363]",False,Leona,"[3860, 3190, 0, 3117, 3067, 1011, 3364]",Tristana,"[6672, 3026, 3046, 3031, 1018, 3006, 3363]",Jayce,"[6694, 2033, 3123, 0, 3047, 6692, 3363]",Nidalee,"[4636, 4630, 3157, 1082, 0, 3020, 3364]",Lillia,"[3070, 3157, 3916, 3158, 4633, 4629, 3340]"
True,Yuumi,"[6616, 2065, 3853, 1057, 0, 0, 3364]",Ezreal,"[3158, 3078, 3042, 0, 0, 1055, 3363]",Lucian,"[6671, 3057, 6694, 1055, 3111, 0, 3363]",Khazix,"[6692, 6609, 3133, 1036, 3158, 6695, 3364]",Yasuo,"[3006, 1037, 6673, 1055, 1018, 1038, 3340]",False,Twitch,"[3158, 0, 3853, 1082, 4633, 3115, 3364]",Cassiopeia,"[3040, 6656, 3157, 3916, 0, 4629, 3340]",Graves,"[6692, 3031, 6676, 3036, 3047, 1036, 3340]",LeeSin,"[1036, 3082, 3067, 6630, 0, 3047, 3340]",Irelia,"[1055, 1036, 6630, 3047, 3153, 0, 3363]"
True,Pyke,"[3857, 6693, 3009, 3179, 3134, 1037, 3364]",Vayne,"[3091, 0, 6672, 3111, 3124, 3046, 3363]",Akshan,"[6676, 3111, 3091, 6672, 1036, 0, 3363]",Elise,"[4636, 3100, 3020, 1026, 1028, 3102, 3364]",Camille,"[3053, 1038, 1036, 3074, 3111, 6632, 3340]",False,Nautilus,"[3860, 3190, 0, 3117, 3067, 8001, 3364]",Kaisa,"[3085, 6671, 6676, 3031, 2421, 3006, 3363]",Leblanc,"[3135, 6655, 3089, 1082, 1052, 3020, 3364]",Nidalee,"[3041, 3157, 3089, 3135, 4636, 3020, 3364]",Irelia,"[1055, 3044, 6630, 3047, 3153, 2421, 3363]"
False,Nautilus,"[3860, 2055, 3190, 3009, 3001, 1028, 3364]",LeeSin,"[3111, 3053, 6630, 3133, 3211, 3067, 3340]",Sylas,"[3157, 3158, 3089, 3041, 4629, 6656, 3340]",Kindred,"[1055, 6632, 3006, 3091, 1042, 1042, 3363]",Fiora,"[6630, 3074, 0, 1055, 1037, 3009, 3363]",True,Maokai,"[3009, 2055, 3860, 3742, 3076, 1011, 3364]",Ashe,"[1055, 6673, 3006, 3091, 1042, 2055, 3363]",Anivia,"[1056, 3070, 4630, 3157, 6653, 3020, 3340]",Nidalee,"[3135, 4636, 3157, 3916, 3020, 1026, 3364]",Gangplank,"[3078, 3074, 2033, 3047, 6609, 3044, 3340]"
True,Yuumi,"[3850, 2055, 0, 0, 0, 0, 3340]",Ziggs,"[2010, 0, 0, 0, 0, 0, 0]",Akshan,"[1055, 0, 0, 0, 0, 0, 3340]",LeeSin,"[1035, 2031, 0, 0, 0, 0, 3340]",Kayle,"[2003, 1056, 0, 0, 0, 0, 3340]",False,Lulu,"[3850, 2003, 0, 0, 0, 0, 3340]",Vayne,"[1055, 2003, 0, 0, 0, 0, 3340]",Sett,"[1054, 0, 2003, 0, 0, 0, 3340]",Kindred,"[1035, 2031, 0, 0, 0, 0, 3364]",Mordekaiser,"[1054, 1028, 0, 0, 0, 0, 3340]"
False,Thresh,"[3190, 3047, 3860, 2055, 3067, 3076, 3364]",Ezreal,"[1055, 3123, 3158, 6694, 6632, 3042, 3363]",Qiyana,"[6695, 6694, 6693, 3158, 3134, 1036, 3364]",Karthus,"[3916, 3157, 4630, 3020, 3089, 6653, 3364]",Camille,"[3053, 3158, 3026, 6609, 3074, 6632, 3340]",True,Pantheon,"[3857, 3009, 6692, 2055, 3179, 6609, 3364]",Tristana,"[6672, 3046, 1038, 3031, 3006, 1053, 3363]",Sylas,"[6656, 3157, 4629, 1058, 3158, 1058, 3340]",Nidalee,"[4636, 4628, 0, 3157, 3020, 1058, 3364]",Renekton,"[8001, 3153, 6632, 3047, 6609, 3181, 3363]"
False,Nami,"[3853, 4005, 2055, 3158, 3916, 4642, 3364]",Yasuo,"[1055, 3006, 6673, 3031, 2055, 0, 3363]",Galio,"[1082, 6656, 2033, 3191, 3111, 3108, 3340]",Nidalee,"[4636, 3041, 3108, 3191, 0, 3020, 3513]",Irelia,"[3067, 3153, 3047, 1055, 3057, 1028, 3340]",True,Braum,"[3047, 3067, 2055, 3855, 1029, 0, 3364]",Ashe,"[1042, 2031, 1055, 6672, 3006, 1018, 3363]",Katarina,"[1055, 2420, 3153, 3111, 1026, 1052, 3364]",Shaco,"[6676, 2031, 3006, 6670, 0, 1037, 3364]",Volibear,"[1056, 3076, 6632, 3047, 0, 0, 3340]"
False,TahmKench,"[3111, 3067, 3860, 0, 8001, 3105, 3364]",Kalista,"[1055, 3006, 6673, 3046, 3124, 1031, 3363]",Cassiopeia,"[2033, 3040, 6653, 1026, 1052, 1082, 3340]",Kindred,"[6672, 3091, 3111, 3086, 1036, 1036, 3364]",Jax,"[2421, 3153, 3071, 6632, 3091, 3111, 3340]",True,Janna,"[3853, 2065, 2055, 3011, 1052, 3158, 3364]",Aphelios,"[1055, 6672, 3086, 3006, 6676, 3031, 3363]",Xerath,"[1056, 6655, 2031, 3020, 4628, 4630, 3363]",Maokai,"[6653, 2031, 3020, 4630, 1026, 0, 3364]",Volibear,"[6632, 3047, 2031, 3053, 0, 0, 3340]"
False,Zilean,"[2065, 3853, 4643, 1052, 4629, 3158, 3364]",Jhin,"[2031, 3086, 6671, 6676, 3009, 3031, 3363]",Syndra,"[3040, 6655, 3020, 3089, 4630, 0, 3363]",Nocturne,"[6631, 3053, 3026, 3158, 0, 3133, 3363]",Tryndamere,"[1055, 3508, 6672, 3006, 3031, 0, 3340]",True,Thresh,"[3857, 3190, 2055, 3114, 3158, 3067, 3364]",Ashe,"[3153, 1057, 6673, 3006, 3046, 0, 3363]",Graves,"[1055, 6691, 3006, 6676, 3035, 1018, 3340]",Nidalee,"[4636, 3089, 0, 3157, 3020, 4628, 3364]",Shyvana,"[3051, 6631, 3047, 3076, 3053, 1057, 3340]"
True,Leona,"[3857, 3190, 2055, 1028, 1029, 3047, 3364]",Kaisa,"[6676, 6671, 3006, 3046, 1055, 0, 3363]",Ryze,"[2031, 6656, 3040, 3020, 4630, 0, 3340]",Viego,"[6632, 2055, 3047, 3153, 1028, 1037, 3364]",MonkeyKing,"[3508, 6691, 3047, 1054, 3053, 3133, 3364]",False,Pyke,"[3179, 3117, 3855, 0, 6691, 3026, 3364]",Samira,"[3047, 6676, 3036, 0, 1055, 6673, 3363]",Garen,"[3006, 3078, 3033, 3742, 1054, 1028, 3363]",Malphite,"[2033, 3047, 6662, 3135, 3108, 0, 3340]",Kindred,"[6672, 3046, 3006, 3036, 3031, 0, 3364]"
False,Thresh,"[3190, 2055, 8001, 3860, 3158, 3076, 3364]",Draven,"[3026, 3006, 3508, 3036, 3031, 6693, 3363]",Malphite,"[1082, 3145, 1058, 3089, 4636, 3158, 3363]",Rengar,"[6691, 3508, 3158, 3036, 1018, 0, 3364]",Skarner,"[1054, 3158, 6632, 3110, 3065, 2055, 3363]",True,Sona,"[6617, 2420, 3853, 3158, 0, 3107, 3364]",Aphelios,"[6673, 3085, 0, 3006, 3036, 3031, 3363]",Qiyana,"[6692, 3133, 6695, 1036, 3070, 3158, 3364]",Nidalee,"[4636, 4628, 3020, 3157, 0, 0, 3364]",Aatrox,"[3053, 6630, 3047, 1029, 3071, 1029, 3340]"
